qid	engine	mode	code	ms	maskHits	rfCust	rfAddr	rfDate	errcode	changed
q66	core	both	0	4356	0	0	0	2		1
q67	core	both	0	3668	0	0	0	1		1
q68	core	both	0	4010	2	1	2	1		1
q69	core	both	0	3948	0	1	1	3		1
q70	core	both	0	3822	0	0	0	2		1
q71	core	both	0	3711	0	0	0	3		1
q72	core	both	1	3274	0	0	0	0	VALIDATION_ERROR	-1
q73	core	both	0	3551	2	1	0	1		1
q74	core	both	0	4042	3	2	0	2		1
q75	core	both	0	4288	0	0	0	3		1
q76	core	both	0	4059	0	0	0	3		1
q77	core	both	0	4288	0	0	0	6		1
q78	core	both	0	3937	0	0	0	3		1
q79	core	both	0	3376	2	1	0	1		1
q80	core	both	1	4394	0	0	0	0	VALIDATION_ERROR	-1
q81	core	both	0	3685	4	1	2	1		1
q82	core	both	0	3860	0	0	0	1		1
q83	core	both	0	3688	0	0	0	9		1
q84	core	both	0	3657	2	1	1	0		1
q85	core	both	0	3614	0	0	4	1		1
q86	core	both	0	3473	0	0	0	1		1
q87	core	both	0	3914	0	3	0	3		1
q88	core	both	0	3604	0	0	0	0		1
q89	core	both	0	3881	0	0	0	1		1
q90	core	both	0	3775	0	0	0	0		1
q91	core	both	0	3692	0	1	1	1		1
q92	core	both	0	3321	0	0	0	2		1
q93	core	both	0	3775	0	0	0	0		1
q94	core	both	0	3803	0	0	1	1		1
q95	core	both	0	3374	0	0	1	1		1
q96	core	both	0	3618	0	0	0	0		1
q97	core	both	0	4109	0	0	0	2		1
q98	core	both	0	3504	0	0	0	1		1
q99	core	both	0	4038	0	0	0	1		1
