qid	engine	mode	code	ms	maskHits	rfCust	rfAddr	rfDate	errcode	changed
q15	lite	rowfilter	0	2710	0	1	1	1		1
q16	lite	rowfilter	0	2811	0	0	1	1		1
q17	lite	rowfilter	0	3207	0	0	0	3		1
q18	lite	rowfilter	0	2969	0	1	1	1		1
q19	lite	rowfilter	0	3043	0	1	1	1		1
q20	lite	rowfilter	0	2623	0	0	0	1		1
q21	lite	rowfilter	0	3466	0	0	0	1		1
q22	lite	rowfilter	0	2651	0	0	0	1		1
q23	lite	rowfilter	0	3083	0	4	0	4		1
q24	lite	rowfilter	0	2786	0	1	1	0		1
q25	lite	rowfilter	0	3089	0	0	0	3		1
q26	lite	rowfilter	0	2784	0	0	0	1		1
q27	lite	rowfilter	0	2951	0	0	0	1		1
q28	lite	rowfilter	0	3275	0	0	0	0		1
q29	lite	rowfilter	0	2780	0	0	0	3		1
q30	lite	rowfilter	0	3035	0	1	2	1		1
q31	lite	rowfilter	0	2899	0	0	2	2		1
q32	lite	rowfilter	0	2679	0	0	0	2		1
q33	lite	rowfilter	0	3301	0	0	3	3		1
q34	lite	rowfilter	0	2595	0	1	0	1		1
q35	lite	rowfilter	0	3531	0	1	1	3		1
q36	lite	rowfilter	0	3047	0	0	0	1		1
q37	lite	rowfilter	0	2910	0	0	0	1		1
q38	lite	rowfilter	0	3397	0	3	0	3		1
q39	lite	rowfilter	0	2886	0	0	0	1		1
q40	lite	rowfilter	0	3452	0	0	0	1		1
q41	lite	rowfilter	0	3169	0	0	0	0		1
q42	lite	rowfilter	0	3013	0	0	0	1		1
q43	lite	rowfilter	0	3411	0	0	0	1		1
q44	lite	rowfilter	0	3110	0	0	0	0		1
q45	lite	rowfilter	0	2840	0	1	1	1		1
q46	lite	rowfilter	0	4092	0	1	2	1		1
q47	lite	rowfilter	0	3364	0	0	0	1		1
q48	lite	rowfilter	0	3178	0	0	4	1		1
q49	lite	rowfilter	0	3361	0	0	0	3		1
q50	lite	rowfilter	0	3663	0	0	0	2		1
q51	lite	rowfilter	0	3214	0	0	0	2		1
q52	lite	rowfilter	0	2861	0	0	0	1		1
q53	lite	rowfilter	0	2894	0	0	0	1		1
q54	lite	rowfilter	0	3676	0	1	1	4		1
q55	lite	rowfilter	0	2529	0	0	0	1		1
q56	lite	rowfilter	0	2976	0	0	3	3		1
q57	lite	rowfilter	0	3312	0	0	0	1		1
q58	lite	rowfilter	0	3302	0	0	0	9		1
q59	lite	rowfilter	0	3538	0	0	0	3		1
q60	lite	rowfilter	0	2825	0	0	3	3		1
q61	lite	rowfilter	0	3130	0	2	2	2		1
q62	lite	rowfilter	0	3100	0	0	0	1		1
q63	lite	rowfilter	0	3078	0	0	0	1		1
q64	lite	rowfilter	0	3330	0	1	2	3		1
q65	lite	rowfilter	0	2608	0	0	0	2		1
q66	lite	rowfilter	0	3650	0	0	0	2		1
q67	lite	rowfilter	0	2793	0	0	0	1		1
q68	lite	rowfilter	0	3056	0	1	2	1		1
q69	lite	rowfilter	0	3170	0	1	1	3		1
q70	lite	rowfilter	0	3227	0	0	0	2		1
q71	lite	rowfilter	0	2664	0	0	0	3		1
q72	lite	rowfilter	0	2700	0	0	0	3		1
q73	lite	rowfilter	0	2993	0	1	0	1		1
q74	lite	rowfilter	0	3172	0	2	0	2		1
q75	lite	rowfilter	0	3501	0	0	0	3		1
q76	lite	rowfilter	0	3264	0	0	0	3		1
q77	lite	rowfilter	0	3459	0	0	0	6		1
q78	lite	rowfilter	0	3692	0	0	0	3		1
q79	lite	rowfilter	0	2830	0	1	0	1		1
q80	lite	rowfilter	0	3728	0	0	0	3		1
q81	lite	rowfilter	0	3001	0	1	2	1		1
q82	lite	rowfilter	0	3050	0	0	0	1		1
q83	lite	rowfilter	0	3065	0	0	0	9		1
q84	lite	rowfilter	0	3094	0	1	1	0		1
q85	lite	rowfilter	0	2944	0	0	4	1		1
q86	lite	rowfilter	0	2863	0	0	0	1		1
q87	lite	rowfilter	0	3302	0	3	0	3		1
q88	lite	rowfilter	0	3499	0	0	0	0		1
q89	lite	rowfilter	0	2683	0	0	0	1		1
q90	lite	rowfilter	0	3148	0	0	0	0		1
q91	lite	rowfilter	0	3021	0	1	1	1		1
q92	lite	rowfilter	0	3176	0	0	0	2		1
q93	lite	rowfilter	0	3033	0	0	0	0		1
q94	lite	rowfilter	0	2627	0	0	1	1		1
q95	lite	rowfilter	0	2887	0	0	1	1		1
q96	lite	rowfilter	0	2784	0	0	0	0		1
q97	lite	rowfilter	0	3315	0	0	0	2		1
q98	lite	rowfilter	0	3015	0	0	0	1		1
q99	lite	rowfilter	0	2992	0	0	0	1		1
q01	lite	both	0	4082	1	1	0	1		1
q02	lite	both	0	3202	0	0	0	3		1
q03	lite	both	0	2774	0	0	0	1		1
q04	lite	both	0	3723	3	3	0	3		1
q05	lite	both	0	3926	0	0	0	3		1
q06	lite	both	0	3463	0	1	1	2		1
q07	lite	both	0	2769	0	0	0	1		1
q08	lite	both	0	3331	0	1	2	1		1
q09	lite	both	0	2924	0	0	0	0		1
q10	lite	both	0	3395	0	1	1	3		1
q11	lite	both	0	3365	3	2	0	2		1
q12	lite	both	0	2662	0	0	0	1		1
q13	lite	both	0	2899	0	0	4	1		1
q14	lite	both	0	3997	0	0	0	9		1
q15	lite	both	0	3729	0	1	1	1		1
q16	lite	both	0	3106	0	0	1	1		1
q17	lite	both	0	3198	0	0	0	3		1
q18	lite	both	0	2997	0	1	1	1		1
q19	lite	both	0	3004	0	1	1	1		1
q20	lite	both	0	2888	0	0	0	1		1
q21	lite	both	0	3157	0	0	0	1		1
q22	lite	both	0	2895	0	0	0	1		1
q23	lite	both	0	3369	2	4	0	4		1
q24	lite	both	0	2941	2	1	1	0		1
q25	lite	both	0	2943	0	0	0	3		1
q26	lite	both	0	3058	0	0	0	1		1
q27	lite	both	0	3004	0	0	0	1		1
q28	lite	both	0	2871	0	0	0	0		1
q29	lite	both	0	3183	0	0	0	3		1
q30	lite	both	0	2877	5	1	2	1		1
q31	lite	both	0	3420	0	0	2	2		1
q32	lite	both	0	2477	0	0	0	2		1
q33	lite	both	0	2979	0	0	3	3		1
q34	lite	both	0	3509	2	1	0	1		1
q35	lite	both	0	3208	0	1	1	3		1
q36	lite	both	0	3305	0	0	0	1		1
q37	lite	both	0	3075	0	0	0	1		1
q38	lite	both	0	3336	0	3	0	3		1
q39	lite	both	0	2756	0	0	0	1		1
q40	lite	both	0	3278	0	0	0	1		1
q41	lite	both	0	3446	0	0	0	0		1
q42	lite	both	0	2972	0	0	0	1		1
q43	lite	both	0	3448	0	0	0	1		1
q44	lite	both	0	2648	0	0	0	0		1
q45	lite	both	0	3164	0	1	1	1		1
q46	lite	both	0	3116	2	1	2	1		1
q47	lite	both	0	3467	0	0	0	1		1
q48	lite	both	0	2835	0	0	4	1		1
q49	lite	both	0	3864	0	0	0	3		1
q50	lite	both	0	3576	0	0	0	2		1
q51	lite	both	0	3804	0	0	0	2		1
q52	lite	both	0	2916	0	0	0	1		1
q53	lite	both	0	2852	0	0	0	1		1
q54	lite	both	0	3308	0	1	1	4		1
q55	lite	both	0	2932	0	0	0	1		1
q56	lite	both	0	2955	0	0	3	3		1
q57	lite	both	0	3099	0	0	0	1		1
q58	lite	both	0	3243	0	0	0	9		1
q59	lite	both	0	3636	0	0	0	3		1
q60	lite	both	0	2809	0	0	3	3		1
q61	lite	both	0	3403	0	2	2	2		1
q62	lite	both	0	2869	0	0	0	1		1
q63	lite	both	0	3376	0	0	0	1		1
q64	lite	both	0	3179	2	1	2	3		1
q65	lite	both	0	3246	0	0	0	2		1
q66	lite	both	0	3587	0	0	0	2		1
q67	lite	both	0	3180	0	0	0	1		1
q68	lite	both	0	3336	2	1	2	1		1
q69	lite	both	0	3224	0	1	1	3		1
q70	lite	both	0	3017	0	0	0	2		1
q71	lite	both	0	3087	0	0	0	3		1
q72	lite	both	0	3140	0	0	0	3		1
q73	lite	both	0	3044	2	1	0	1		1
q74	lite	both	0	3197	3	2	0	2		1
q75	lite	both	0	3330	0	0	0	3		1
q76	lite	both	0	3596	0	0	0	3		1
q77	lite	both	0	3549	0	0	0	6		1
q78	lite	both	0	3404	0	0	0	3		1
q79	lite	both	0	2924	2	1	0	1		1
q80	lite	both	0	4297	0	0	0	3		1
q81	lite	both	0	3561	4	1	2	1		1
q82	lite	both	0	3083	0	0	0	1		1
q83	lite	both	0	3189	0	0	0	9		1
q84	lite	both	0	2956	2	1	1	0		1
q85	lite	both	0	2791	0	0	4	1		1
q86	lite	both	0	2788	0	0	0	1		1
q87	lite	both	0	3256	0	3	0	3		1
q88	lite	both	0	2887	0	0	0	0		1
q89	lite	both	0	3409	0	0	0	1		1
q90	lite	both	0	2839	0	0	0	0		1
q91	lite	both	0	3292	0	1	1	1		1
q92	lite	both	0	3157	0	0	0	2		1
q93	lite	both	0	2969	0	0	0	0		1
q94	lite	both	0	3558	0	0	1	1		1
q95	lite	both	0	2830	0	0	1	1		1
q96	lite	both	0	3036	0	0	0	0		1
q97	lite	both	0	3090	0	0	0	2		1
q98	lite	both	0	2947	0	0	0	1		1
q99	lite	both	0	3539	0	0	0	1		1
q01	core	mask	0	4027	1	0	0	0		1
q02	core	mask	0	5102	0	0	0	0		1
q03	core	mask	0	3087	0	0	0	0		1
q04	core	mask	0	4091	3	0	0	0		1
q05	core	mask	1	3026	0	0	0	0	VALIDATION_ERROR	-1
q06	core	mask	0	4041	0	0	0	0		1
q07	core	mask	0	3427	0	0	0	0		1
q08	core	mask	0	3828	0	0	0	0		1
q09	core	mask	1	3209	0	0	0	0	LINEAGE_UNKNOWN	-1
q10	core	mask	0	3788	0	0	0	0		1
q11	core	mask	0	3815	3	0	0	0		1
q12	core	mask	0	3558	0	0	0	0		1
q13	core	mask	0	3282	0	0	3	0		1
q14	core	mask	0	4066	0	0	0	0		1
q15	core	mask	0	4923	0	0	0	0		1
q16	core	mask	0	3675	0	0	0	0		1
q17	core	mask	0	3883	0	0	0	0		1
q18	core	mask	0	3868	0	0	0	0		1
q19	core	mask	0	3457	0	0	0	0		1
q20	core	mask	0	3348	0	0	0	0		1
q21	core	mask	0	3660	0	0	0	0		1
q22	core	mask	0	3094	0	0	0	0		1
q23	core	mask	0	3748	2	0	0	0		1
q24	core	mask	0	3494	2	0	0	0		1
q25	core	mask	0	3591	0	0	0	0		1
q26	core	mask	0	3515	0	0	0	0		1
q27	core	mask	0	3532	0	0	0	0		1
q28	core	mask	0	3519	0	0	0	0		1
q29	core	mask	0	3654	0	0	0	0		1
q30	core	mask	0	3652	5	0	0	0		1
q31	core	mask	0	3402	0	0	0	0		1
